Maximum Marks,100,[do-not-delete-the-sample-student],,[do-not-delete-EOFs],[marks-do-not-have-to-be-in-order],,,,,,,,EOF1,EOF2
96,CLGYCOML,44,6,2,,,,,,,,,,
75,LUHESIOG,45,9,2,6,8,3,10,5,,,,,
79,ABBADZII,46,8,4,9,3,2,5,10,6,,,,
41,RSDUASNG,47,2,4,3,5,7,9,10,,,,,
4,MBBLXILM,48,8,,,,,,,,,,,
40,MLFCJHIQ,49,7,2,9,10,4,6,,,,,,
46,BSUNFKNP,50,10,5,9,8,2,6,3,7,,,,
36,DYHLOYCU,51,9,5,6,8,,,,,,,,
93,XIAPNEHJ,52,9,1,6,5,8,2,4,,,,,
15,XDYHLJLZ,53,6,2,8,5,10,3,7,1,9,4,,
35,ZEWGBJAZ,54,3,9,5,6,8,10,2,1,7,4,,
48,WIONNQPL,55,9,3,7,5,8,6,,,,,,
57,KCIPGQWG,56,5,1,9,2,3,6,4,10,8,7,,
92,AHSLJMQC,57,3,2,7,9,,,,,,,,
28,MSWNWPTS,58,3,5,10,8,,,,,,,,
57,MYJNWVOI,59,8,1,2,3,9,,,,,,,
82,POURVLKI,60,6,4,9,8,,,,,,,,
88,JSISMTMB,61,5,9,2,6,7,4,1,10,3,,,
61,EHUAUQPR,62,7,2,6,10,9,4,5,,,,,
23,XEOSGUES,63,4,8,10,5,9,6,3,2,7,1,,
5,ARHEUSPR,64,4,7,8,,,,,,,,,
56,CATJFSCC,65,8,5,6,2,1,7,10,4,,,,
55,BUQQLBOS,66,5,6,3,,,,,,,,,
91,AKPVPFJY,67,4,3,10,,,,,,,,,
5,MIARGLOH,68,1,9,7,,,,,,,,,
97,KBCWGXLT,69,7,1,6,8,9,10,4,3,5,2,,
58,VXNIZZDW,70,6,4,,,,,,,,,,
80,EFQTZIPH,71,9,5,,,,,,,,,,
27,WOCWHOXA,72,5,9,4,6,10,,,,,,,
93,QYOMVFWP,73,7,6,8,,,,,,,,,
7,NRYOSHGK,74,7,2,6,9,5,3,,,,,,
75,VQADWKQH,75,6,7,10,9,3,1,4,,,,,
23,RGQPZYCP,76,2,4,3,8,5,1,,,,,,
87,HTRAZUQI,77,2,3,10,7,,,,,,,,
56,TDCSKRSM,78,7,6,4,9,,,,,,,,
54,ORRBJLCF,79,9,4,3,8,,,,,,,,
24,AMFINSNN,80,9,8,5,4,,,,,,,,
76,DTPQFEGH,81,5,7,6,8,,,,,,,,
24,RUEVQGFO,82,9,,,,,,,,,,,
11,SSFOWZVX,83,3,8,7,10,9,5,2,4,1,,,
78,XADQHZZN,84,8,4,2,1,5,3,9,7,10,,,
73,BFDHXPMN,85,8,7,6,10,1,9,2,,,,,
77,ATBGMARG,86,5,7,3,1,2,10,9,,,,,
74,HMMGPBUT,87,2,4,6,1,3,,,,,,,
72,OPLSNRUM,88,2,9,1,7,5,4,8,3,10,6,,
67,PUWFCNWS,89,4,7,2,3,6,9,1,,,,,
69,RZAYAEWP,90,6,9,5,7,2,,,,,,,
9,QWUNWDUD,91,2,3,1,4,5,8,,,,,,
70,YSUPTBAC,92,1,6,7,3,6,5,2,4,,,,
68,MEXJJBMA,93,4,3,9,2,1,5,6,8,7,10,,
25,PSDYCKKF,94,5,9,8,2,10,,,,,,,
60,FOYCPLLW,95,6,8,5,4,2,,,,,,,
74,QLLPUPYF,96,1,2,5,4,3,10,6,,,,,
54,TKMXLDVO,97,10,7,3,6,1,2,3,4,8,5,,
73,TMLREUHC,98,8,2,,,,,,,,,,
14,XHUVFYJA,99,3,6,8,9,,,,,,,,
72,AANANSAH,100,1,9,8,10,7,3,2,6,4,5,,
24,FVWWEEBH,101,7,1,9,4,8,3,10,2,6,,,
45,RGOSJKST,102,7,5,10,6,8,3,4,,,,,
68,RUYLCFCD,103,6,2,,,,,,,,,,
57,VTMYZGGL,104,9,2,6,8,3,10,5,,,,,
31,PAOTZDMW,105,8,4,9,3,2,5,10,6,,,,
96,EBCZCNLK,106,2,4,3,5,7,9,10,,,,,
47,EZTZKMWY,107,7,6,3,5,,,,,,,,
58,NTGRLNPH,108,10,6,4,5,7,9,8,2,,,,
65,IMEHVVZC,109,6,1,10,3,8,4,7,,,,,
1,YUMQWOZP,110,9,10,6,7,5,1,3,4,2,8,,
51,FFIUZCEX,111,9,3,1,2,,,,,,,,
16,HAXDBEGD,112,7,1,9,4,5,3,10,2,6,,,
50,JJZZJEUM,113,7,5,10,6,8,3,4,,,,,
85,MIDAUFPX,114,6,5,,,,,,,,,,
82,TAYEEDGX,115,9,2,6,8,3,10,5,,,,,
95,OTLWGCDW,116,8,4,9,3,2,5,10,6,,,,
82,EMHEDBTY,117,2,4,3,5,7,9,10,,,,,
89,DAJYVPHD,118,3,2,10,4,8,9,1,5,7,6,,
56,PTAYZSIO,119,8,3,1,2,4,,,,,,,
2,FDZHDBFR,120,9,8,6,7,,,,,,,,
93,EVOTXCYB,121,6,2,9,7,1,3,5,,,,,
52,NNTZANBU,122,9,6,2,,,,,,,,,
26,GAPLVCMW,123,9,2,6,8,3,10,5,,,,,
25,FHKSHPUG,124,8,4,9,3,2,5,10,6,,,,
16,NAXPPVXM,125,2,4,3,5,7,9,10,,,,,
5,LAJNYGJO,126,3,2,10,4,8,9,1,5,7,6,,
14,HSOILBQX,127,2,9,7,,,,,,,,,
